"id","port_status","implementation","legacy_field","legacy_class","old_texture","new_texture","old_zh_cn","new_zh_cn","legacy_block_item","initializer"
"chopper","catalog_fallback","HbmItems.registerRemainingLegacyCatalogItems -> LegacyCatalogItem","spawn_chopper","ItemChopper","True","True","True","True","False","spawn_chopper = new ItemChopper().setUnlocalizedName(""chopper"").setMaxStackSize(1).setCreativeTab(MainRegistry.consumableTab).setTextureName(RefStrings.MODID + "":chopper"")"
"drone","catalog_fallback","HbmItems.registerRemainingLegacyCatalogItems -> LegacyCatalogItem","drone","ItemDrone","False","True","False","True","False","drone = new ItemDrone().setUnlocalizedName(""drone"")"
"drone_linker","catalog_fallback","HbmItems.registerRemainingLegacyCatalogItems -> LegacyCatalogItem","drone_linker","ItemDroneLinker","True","True","True","True","False","drone_linker = new ItemDroneLinker().setUnlocalizedName(""drone_linker"").setMaxStackSize(1).setCreativeTab(MainRegistry.consumableTab).setTextureName(RefStrings.MODID + "":drone_linker"")"
"spawn_ufo","catalog_fallback","HbmItems.registerRemainingLegacyCatalogItems -> LegacyCatalogItem","spawn_ufo","ItemChopper","True","True","True","True","False","spawn_ufo = new ItemChopper().setUnlocalizedName(""spawn_ufo"").setMaxStackSize(1).setCreativeTab(MainRegistry.consumableTab).setTextureName(RefStrings.MODID + "":spawn_ufo"")"
"spawn_worm","catalog_fallback","HbmItems.registerRemainingLegacyCatalogItems -> LegacyCatalogItem","spawn_worm","ItemChopper","True","True","True","True","False","spawn_worm = new ItemChopper().setUnlocalizedName(""spawn_worm"").setMaxStackSize(1).setCreativeTab(MainRegistry.consumableTab).setTextureName(RefStrings.MODID + "":spawn_worm"")"
